draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,structuredsexual.stable_act_decay,structuredsexual.client_marital_act_mult
512,0.0176453951190839,1.429086427662033,-2.020299644921629,0.870675797764588,23.66277009244312,0.193494937807865,0.8944054999237637,-1.8269191912549372,0.5849172141087182,-2.858777379825812,-2.01887674239292,-2.5336215456651248,0.5831479124703396,7.126923475838313,5.484091539044001,0.4961640106573547,0.2590281716977455,0.166696030172507,0.4467007277734659
518,0.0177442365350735,0.8428966293062001,-1.5473453276265494,1.5158137503046227,17.541947912325114,0.3427747036843378,0.5510639986839484,-0.5351417509096854,0.5911978278239265,-2.242162142098574,-1.4676428273707696,-1.605246675588703,0.7133802257567168,7.616153940995179,8.434739397015509,0.7784087565186099,0.2394845842586535,0.1432868563373023,0.343079685662659
536,0.0295520108995898,0.629861623383623,-1.463129351708846,1.4352726668215985,24.967534535168973,0.5662877553037027,0.5909635129994826,-1.151830238513043,0.6457548399676407,-2.693403607406818,-1.596819969747433,-2.806717994909879,0.6773502928100605,5.094319333091367,14.83519982344756,1.0431486641846777,0.3822452325220196,0.1718221636666093,0.7120486297077573
545,0.0191230240373355,0.8743559383245183,-1.3128824506218135,0.6682350609128205,24.57313210429229,0.3060831593363255,0.5178544206219559,-0.4492007758927139,0.7622108443955751,-1.3627658904441886,-2.518846213595893,-1.7598823232242564,0.7843893662636187,5.727004501162838,8.307007204219808,0.7422754312696922,0.59692255874214,0.0915128479445563,0.6909021726273779
572,0.0255650526237223,0.4503435370432697,-1.301532140256327,2.247222678683928,10.365689707276562,0.3337504278788269,0.5517645023774288,-0.4372441999367238,1.2627536343742098,-2.2032741127422293,-2.246799204768517,-1.544599712022952,0.8552387219022739,4.176532654234156,4.618596009068307,0.740750362640769,0.1381526084884838,0.1339961069808804,0.6640809950646751
578,0.0219592199290354,1.3478007777527403,-1.232360582289593,1.345791797696023,14.12161046138676,0.5333006332510261,0.6145868564911148,-0.3509569793798497,1.0756209761351905,-3.369966540306597,-1.8561975009417857,-0.9102180091051082,0.7232565453081148,4.538497724743028,6.038767625123418,0.0275465746550075,0.335157744808862,0.0301371943627028,0.4722888455300381
588,0.0220309149226314,0.3016280463831835,-1.3277095013555087,1.402630280496301,26.03714948257661,0.3244968856821991,0.677895322995369,-2.49093251317363,0.519810418127368,-1.6696055967489936,-1.3003506506390452,-1.4289283479688053,0.6729083739280424,3.0888190045292494,4.11504320191114,0.9331292999294284,0.6515823730430977,0.0632550547900733,0.9437922382587992
607,0.0231569525237512,0.8546265906503523,-1.4433011186563904,0.62475898804581,27.83554693608878,0.2154954835100457,0.9279802246669446,-0.1519138089881675,0.9300862580249274,-1.5091173337688963,-2.0872850648257923,-1.8060872772360852,0.805956296873874,5.17722226660079,9.128551830436638,0.5829978807667419,0.4025258993779718,0.0340344101801585,0.9918968495386922
611,0.0286744198053607,0.3726311481586954,-1.6581483944973914,1.8867815345098533,20.979520114218737,0.1403349532947743,0.8704396403887475,-0.2348316459249018,0.4175199562561461,-1.3581055121971932,-2.9162686731985987,-0.8328546400927674,0.8738963295309949,3.964257327618056,8.170198708466504,0.6100033523915319,0.2168475259288827,0.0306758185737221,0.303895543963095
629,0.0207726914484212,0.788335673834093,-1.4105509494353563,1.3379403120631437,28.605540336096876,0.1925152926783899,0.948819026845674,-0.1882235089166659,0.3376229745389967,-3.745285203410631,-2.953189748341805,-1.497136752834944,0.8877214343284144,7.429894735304479,2.87552465578316,1.023079127108468,0.4981474006502834,0.1184694281284323,0.3989056427664565
632,0.0125381611403773,0.3021993995980087,-1.4662008014917307,1.979178729479532,15.90321583106453,0.4281506975275663,0.8695948188272737,-0.1410815611355094,0.545008818658781,-3.0546624729098024,-1.991516920231129,-2.306709713751763,0.8509305407075265,7.269946279085272,13.7381454835409,0.8128435049256382,0.2626007686301296,0.1945529180695697,0.7162681513441815
633,0.0240557873264881,1.3879343007741332,-1.0715968486986964,1.230243730008881,18.951560036065587,0.307881211953853,0.8224661449135091,-0.9800300091260764,1.0476639645385095,-2.7279198835466727,-2.15461870235706,-2.326142469754072,0.8134989577937144,3.5278457741604736,5.277931403621122,0.8610235595189039,0.4162591704949877,0.1794777188305798,0.7601155684701493
651,0.0248519344656282,0.9863856538427088,-1.5503263008822183,1.3768709830805212,15.705964652740043,0.4007831365379067,0.8578303444220969,-1.2609891919809644,1.4373809419354993,-3.386234423368532,-2.337828877583946,-1.548608574509112,0.6263975121313758,3.3363225801444,3.102587333347324,0.926535376433,8.377118706276684e-05,0.1728912022946226,0.6016541055300559
656,0.0175341400215003,1.4574518347930936,-1.158733575089096,1.200891787322959,22.73282103035797,0.5953401258851893,0.550688727704097,-1.7217691696034705,0.5137435523445343,-1.9741396038387329,-1.872326057128722,-3.175338602346608,0.7686570340806232,2.318426912762116,4.818600431282964,0.9938084581227224,0.6905167190487898,0.1980955367512288,0.6591789173805074
685,0.021094935190107,1.4775262551240878,-1.4180908934983667,0.9190376456930628,18.373858858677394,0.3268850668816265,0.6235449619128846,-1.2699221499498343,0.679988294374395,-1.3544505641862918,-1.951580722935464,-1.745913806154347,0.8299957758042982,6.460540847583072,7.468184644731713,0.0108783144552656,0.8993182230417472,0.0343252070402379,0.3364232197255895
708,0.0224289794965228,0.6152107790165647,-1.3326219619800663,2.1679669152031296,23.17072243951523,0.251661756043695,0.7938812114025993,-2.097951103072299,0.7667829736266591,-3.4053475073535147,-1.156455327661417,-1.662916062579595,0.8715844968483109,6.142065894766994,13.202045760322124,0.6626915120558478,0.7951126640556657,0.1964015635687686,0.4653127248895878
723,0.0269801842399772,0.8319312207275302,-1.0644377854159135,1.4711059225159926,23.25593453001016,0.2851914756165025,0.5570218596778447,-2.2776811945776885,0.4129044899756327,-3.745494231013769,-0.9795709715671346,-2.2499170900449474,0.8464842592912034,5.389957955287623,14.492621125205586,0.0939064283133185,0.6452484291628827,0.113698129120225,0.4903535138186103
724,0.0289067895840238,0.521181118000863,-1.245511040561028,1.7961482662413255,16.267930318111553,0.2426220037043338,0.6303315541762005,-1.7540403089529812,0.3399592265456813,-1.5508440568621422,-2.210598828889259,-0.6250995629689196,0.762772694318858,5.204072342696574,8.724236568835732,0.6661846410433119,0.0539657931606573,0.1586421734641254,0.6000837837705388
728,0.0216873395540401,0.8789344236026604,-1.125240448841747,1.8099767700954288,16.950843451790647,0.1192271600614706,0.9090054535648264,-0.6929601534884893,0.4296603263889197,-3.654620865437968,-1.961152897589868,-2.4730025541030978,0.5730003438633618,4.325909608114063,13.086463577626969,0.7054107351632233,0.6724477253309529,0.0379341770359607,0.3306120371493529
738,0.024535312761357,0.5520784243695542,-1.1134715132234174,0.6174515077277364,26.33643519019739,0.2161976523992341,0.8485316738788907,-1.3387597172646657,0.436437712169147,-3.8738109716357534,-1.8093211355177885,-2.538687265883722,0.6489665791498498,6.70247503564446,11.154788318016717,0.981704193425616,0.182998974813083,0.1143443111119386,0.8464392246611485
773,0.0174870194497133,0.3997035806842584,-1.063205395132449,1.555563608966214,13.441319791336891,0.5456924531567561,0.7130891164277816,-1.792762214153499,0.6914929275577487,-3.778728285922961,-2.323763934071708,-1.6181079574426862,0.6318183323303391,3.681209885928814,12.067865819569016,1.0947750089278576,0.2981674046341648,0.1201816371299634,0.8722926258322834
784,0.0206507759906079,1.2494686772755217,-1.9326691076990683,1.096202503257839,13.102436283813706,0.4510642296267549,0.7732099055926287,-0.5065146409012073,0.3963539561106471,-2.6752729096000305,-0.9945078231557268,-3.681351555124724,0.5794420841055709,7.005337272556348,8.658554346018024,0.7068236041660885,0.7234106702935287,0.044388736085409,0.7964719397493354
803,0.0212304529598728,1.1792293432844805,-1.2777486542357763,1.5848052582414518,25.31344580620017,0.3474315195733576,0.7871806531754617,-1.6360656527152462,1.166006416252807,-1.3313421996265262,-2.4410687595893004,-2.646432066808194,0.886426119151713,3.676771851283466,3.786148916350192,0.4248589038088578,0.8201018141608736,0.0274316105952306,0.393704117958859
806,0.0178630030899493,1.3917309157000637,-1.6817806146807048,1.3397574430429864,26.099633776380998,0.3351816122229264,0.5862208470526693,-1.211231863099281,0.441865156905212,-3.265273752365724,-2.654498293167198,-3.731058459846429,0.6044125304420146,4.408074258362451,11.733148143460827,0.2729458277047679,0.4635444457526448,0.1483394835143181,0.9757186574529026
808,0.0258629854508593,0.5088868874779475,-1.0549666286202417,2.028233750690289,20.60276182494597,0.1161509761198623,0.7630977044986612,-2.05674709800766,0.7263099112715439,-1.9906465150236408,-2.4334380293812785,-2.466977732929112,0.7897846693975529,5.1344822957773,13.6288309340531,0.1524347080463953,0.4979981492911085,0.0282344216660349,0.3309693785478626
811,0.0253382496667099,0.5652419671538493,-1.692247077777708,2.192581208538248,17.538540391911965,0.4106988106120219,0.5596621332919446,-0.1187304944046783,0.4443357512167774,-1.5107613477639354,-0.9011911632809522,-1.967273236723648,0.7959749951903331,7.933821667170873,11.655149083562272,0.7362971412552013,0.1988314506474772,0.0217688808371842,0.7493130535880108
844,0.0182861839699777,0.5930933519956072,-1.23957410545631,0.8266914534351076,23.356273731093577,0.4926573952904187,0.9248227022391314,-1.092465490275194,0.9600003653744468,-1.7404760836103308,-1.1409867056122998,-0.8124418199084733,0.8744599381192141,5.583235502164289,3.124261791095022,0.4130264198475923,0.1000837669736248,0.1426069170866198,0.3019666939984483
849,0.0214379836597271,0.5761233476628032,-1.258646849424727,1.091802018157452,23.54308994173497,0.1867469071628789,0.597022626076143,-0.8272774381894306,0.9966331644737034,-2.2387208258264493,-2.30793527288129,-2.8582078578719177,0.6502556143436322,5.026058087708201,11.813775705435996,0.8307201648703436,0.4104824247455895,0.1757687316082201,0.6918902729531103
850,0.026901625324942,0.7424697655920393,-1.5177205065755983,0.944027863321796,20.081044497507925,0.4617440238919481,0.7933212154723995,-1.1241082472419666,1.3962641184185935,-3.6184837027153,-2.568497932736159,-3.424455693233756,0.5588295249001197,5.972823770831721,6.342921428835864,0.2899056496390767,0.8226826219179363,0.0781494142917788,0.5424693152847763
857,0.0236426780576524,0.7448789005462064,-1.3412955314200596,2.20102586175342,10.89045336671676,0.5720967148037039,0.7751752585739328,-1.2951960398712248,0.963137345547784,-3.434027669656443,-1.0617893422942566,-1.912268405846972,0.5748816765814253,2.9695447111598186,14.295996288397909,0.9092479189990924,0.6447729341304745,0.1859670550695629,0.7329817192475834
