care,pn,bp,poc,disease,metric,year,value
baseline,low,high,True,ng,prevalence,2030,0.01360346763540245
baseline,low,high,True,ng,prevalence,2031,0.012790282090547403
baseline,low,high,True,ng,prevalence,2032,0.013937419991802796
baseline,low,high,True,ng,prevalence,2033,0.012547073579356133
baseline,low,high,True,ng,prevalence,2034,0.013130665358946626
baseline,low,high,True,ng,prevalence,2035,0.01506332567801777
baseline,low,high,True,ng,prevalence,2036,0.015293391442537146
baseline,low,high,True,ng,prevalence,2037,0.01408012459877187
baseline,low,high,True,ng,prevalence,2038,0.014565961614469047
baseline,low,high,True,ng,prevalence,2039,0.01469000974532518
baseline,low,high,True,ng,prevalence,2040,0.015795801783490705
baseline,low,low,True,ng,prevalence,2027,0.016526322297469098
baseline,low,low,True,ng,prevalence,2028,0.015492134726530207
baseline,low,low,True,ng,prevalence,2029,0.01540980595325924
baseline,low,low,True,ng,prevalence,2030,0.015864904069717085
baseline,low,low,True,ng,prevalence,2031,0.015791859377900612
baseline,low,low,True,ng,prevalence,2032,0.016705813138810525
baseline,low,low,True,ng,prevalence,2033,0.01539681815040551
baseline,low,low,True,ng,prevalence,2034,0.016743113141093037
baseline,low,low,True,ng,prevalence,2035,0.0190000089161797
baseline,low,low,True,ng,prevalence,2036,0.018373498180155493
baseline,low,low,True,ng,prevalence,2037,0.019298379171572306
baseline,low,low,True,ng,prevalence,2038,0.019190694922690585
baseline,low,low,True,ng,prevalence,2039,0.019730309116581732
baseline,low,low,True,ng,prevalence,2040,0.022125054052765693
baseline,low,moderate,True,ng,prevalence,2027,0.01598402328651489
baseline,low,moderate,True,ng,prevalence,2028,0.014301011918411415
baseline,low,moderate,True,ng,prevalence,2029,0.014273068094226146
baseline,low,moderate,True,ng,prevalence,2030,0.014243966114458568
baseline,low,moderate,True,ng,prevalence,2031,0.013948898122036984
baseline,low,moderate,True,ng,prevalence,2032,0.015497900980285367
baseline,low,moderate,True,ng,prevalence,2033,0.013350244583820262
baseline,low,moderate,True,ng,prevalence,2034,0.014576124551757977
baseline,low,moderate,True,ng,prevalence,2035,0.017100613878166228
baseline,low,moderate,True,ng,prevalence,2036,0.016779324335861046
baseline,low,moderate,True,ng,prevalence,2037,0.01776080580283327
baseline,low,moderate,True,ng,prevalence,2038,0.01691204951134804
baseline,low,moderate,True,ng,prevalence,2039,0.017297808808313553
baseline,low,moderate,True,ng,prevalence,2040,0.01974977689401129
baseline,low,none,True,ng,prevalence,2027,0.01707602170190266
baseline,low,none,True,ng,prevalence,2028,0.017319259382978503
baseline,low,none,True,ng,prevalence,2029,0.0181051433082504
baseline,low,none,True,ng,prevalence,2030,0.019012109147065477
baseline,low,none,True,ng,prevalence,2031,0.017425406389119165
baseline,low,none,True,ng,prevalence,2032,0.017811441772207767
baseline,low,none,True,ng,prevalence,2033,0.017335664123179696
baseline,low,none,True,ng,prevalence,2034,0.018561870050536024
baseline,low,none,True,ng,prevalence,2035,0.02136335910698387
baseline,low,none,True,ng,prevalence,2036,0.021110336457696773
baseline,low,none,True,ng,prevalence,2037,0.021235945473099333
baseline,low,none,True,ng,prevalence,2038,0.02165620034917065
baseline,low,none,True,ng,prevalence,2039,0.022783509909149204
baseline,low,none,True,ng,prevalence,2040,0.025270785900924166
baseline,moderate,high,True,ng,prevalence,2027,0.014776481620660684
baseline,moderate,high,True,ng,prevalence,2028,0.011552345976746266
baseline,moderate,high,True,ng,prevalence,2029,0.01132503914279171
baseline,moderate,high,True,ng,prevalence,2030,0.011014660778321795
baseline,moderate,high,True,ng,prevalence,2031,0.010598990581732356
baseline,moderate,high,True,ng,prevalence,2032,0.01085500452387238
baseline,moderate,high,True,ng,prevalence,2033,0.010354765777709881
baseline,moderate,high,True,ng,prevalence,2034,0.010968705841746057
baseline,moderate,high,True,ng,prevalence,2035,0.011483484185104607
baseline,moderate,high,True,ng,prevalence,2036,0.011517163308755983
baseline,moderate,high,True,ng,prevalence,2037,0.010558966483115162
baseline,moderate,high,True,ng,prevalence,2038,0.011324783164286197
baseline,moderate,high,True,ng,prevalence,2039,0.010999170366955862
baseline,moderate,high,True,ng,prevalence,2040,0.01227847383871558
baseline,moderate,low,True,ng,prevalence,2027,0.015666249814784036
baseline,moderate,low,True,ng,prevalence,2028,0.01347144993424793
baseline,moderate,low,True,ng,prevalence,2029,0.012917929510022944
baseline,moderate,low,True,ng,prevalence,2030,0.013248566530504092
baseline,moderate,low,True,ng,prevalence,2031,0.012839604739672137
baseline,moderate,low,True,ng,prevalence,2032,0.013737344786989975
baseline,moderate,low,True,ng,prevalence,2033,0.012349456374462163
baseline,moderate,low,True,ng,prevalence,2034,0.013147694330591042
baseline,moderate,low,True,ng,prevalence,2035,0.015996248623594236
baseline,moderate,low,True,ng,prevalence,2036,0.01589765074702229
baseline,moderate,low,True,ng,prevalence,2037,0.016625571158717996
baseline,moderate,low,True,ng,prevalence,2038,0.015661806957024522
baseline,moderate,low,True,ng,prevalence,2039,0.016566674672734538
baseline,moderate,low,True,ng,prevalence,2040,0.0186875570069895
baseline,moderate,moderate,True,ng,prevalence,2027,0.01518563888148304
baseline,moderate,moderate,True,ng,prevalence,2028,0.012615191588334079
baseline,moderate,moderate,True,ng,prevalence,2029,0.012041840370950432
baseline,moderate,moderate,True,ng,prevalence,2030,0.012026290957320777
baseline,moderate,moderate,True,ng,prevalence,2031,0.011492088010665497
baseline,moderate,moderate,True,ng,prevalence,2032,0.011857697585464134
