draw_idx,seed,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_top_spreaders_50pct,passes,n_pass,status,source
57,100570,0.7307692307692307,0.16006917755572636,0.2576863950807072,0.6236992279288351,0.3521315877811346,0.02416918429003021,0.0,0.7091503267973857,0.1400737131449473,20.187711666666665,0.4578441835645678,0.14333120612635608,0.2554251156172181,0.10350989151244416,3.1943091524740774,0.15653294430690506,1003.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
29,100291,0.6282051282051282,0.1312299035369775,0.19594051446945338,0.632375189107413,0.3464447806354009,0.02118003025718608,0.0,0.77,0.1275331409720818,18.638708333333334,0.37879369957741066,0.12163381007602113,0.2451018056089128,0.08787527380492205,3.1142138796825045,0.14888610248942694,875.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
39,100391,0.5054347826086957,0.13921297211785644,0.22226616571089577,0.5839832033593282,0.3929214157168566,0.02309538092381524,0.0,0.6151315789473685,0.1208277745263526,21.874243333333332,0.3874652670577339,0.10857538035961273,0.253782031491201,0.07302904564315353,3.568629147550848,0.1821216208979367,974.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
73,100730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000388651379712398,0.0,0.0,0.0,,0.1433809312260813,1.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
72,100720,0.42857142857142855,0.13947623666343356,0.2289039767216295,0.576681020205366,0.4014574362371646,0.02186154355746936,0.0,0.7133105802047781,0.13908617374369184,19.282920000000004,0.41365298659081673,0.14750434566674944,0.2255180820804551,0.11149739259995034,2.8043444057259577,0.1387772940316018,988.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",4,ok,exp35_p2
84,100841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.16374263627988137,,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
73,100732,0.0,0.011238170347003154,0.026813880126182965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07876588021778584,0.0032075955863484734,0.032667876588021776,0.0014113420579933281,24.556050816696914,0.15540463456204703,200.0,"{'fsw_band': False, 'nontrep_band': True, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': True, 'hiv_trep_ratio_band': False}",3,ok,exp35_p2
72,100721,0.5954545454545455,0.1331939958198746,0.21736652099562986,0.5634379263301501,0.41098226466575716,0.02557980900409277,0.0,0.7137931034482758,0.13782229197012935,18.46498833333333,0.4169145771355716,0.14304415089848863,0.22906927326816828,0.10329644174699512,2.9145866819219703,0.13152251990271485,1020.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",4,ok,exp35_p2
72,100722,0.5467980295566502,0.156,0.24914285714285714,0.5787139689578714,0.39726533628972654,0.02402069475240207,0.0,0.6401384083044983,0.13289773992501777,17.958305000000003,0.4382536382536383,0.1664023423203611,0.23534303534303536,0.12321581066243747,2.6336987336987336,0.13390923487154632,1009.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",4,ok,exp35_p2
100,101002,0.0,0.0024424994911459393,0.008548748219010787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02490566037735849,0.002225130890052356,0.005283018867924529,0.0010471204188481676,11.192896781354051,0.15174366980908224,106.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
73,100731,0.5741935483870968,0.13445378151260504,0.20088035214085634,0.6049979846835953,0.3728335348649738,0.022168480451430876,0.0,0.45422535211267606,0.10644653805726535,15.403173333333333,0.3972339608144449,0.10231660231660232,0.2500960430272762,0.07567567567567568,3.8823998434317444,0.14842684165124265,832.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
78,100780,0.5132743362831859,0.1299165673420739,0.22526817640047675,0.5414156626506024,0.43373493975903615,0.024849397590361446,0.0,0.8074324324324325,0.11541281168796545,18.89205,0.41916376306620207,0.12646981970211654,0.23031358885017422,0.09184740005226026,3.314338267054453,0.16239624728828622,981.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
78,100781,0.6216216216216216,0.12956169144622515,0.2347943618459162,0.5551304347826087,0.41739130434782606,0.027478260869565216,0.0,0.7876923076923077,0.12523719278530335,21.59918666666667,0.42460456942003516,0.13518062928913635,0.22495606326889278,0.09296905347662825,3.1410163693782867,0.16118038311006982,987.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
118,101181,0.0,0.0,0.00019120458891013384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025526483726866624,0.0,0.0,0.0,0.1565751712797636,1.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
78,100782,0.6721311475409836,0.12944162436548223,0.23447871925029284,0.551249199231262,0.4256886611146701,0.023062139654067906,0.0,0.7064516129032258,0.12337936675574693,21.534041666666667,0.41474311243484735,0.13856176396893008,0.21854058078927774,0.09371084941117515,2.9932002924547487,0.14869972290058095,1010.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",4,ok,exp35_p2
118,101182,0.0,0.00019124115509657678,0.00019124115509657678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035198873636043646,0.0,0.00035198873636043646,0.0,,0.1560596597752036,1.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
84,100840,0.696969696969697,0.1373407643312102,0.23447452229299362,0.5949292452830188,0.38178066037735847,0.02329009433962264,0.0,0.6832740213523132,0.12876402773256956,21.505088333333333,0.4227532817233255,0.11526189843126829,0.22113766408616628,0.0772400957192236,3.6677626125984477,0.16968106449832845,900.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
118,101180,0.024875621890547265,0.05955284552845529,0.11056910569105691,0.0,0.0,0.0,0.0,0.06439393939393939,0.00013394397763159019,0.0,0.2917602996254682,0.03176256183285603,0.16142322097378278,0.01822442072376985,9.185666482470682,0.15536393087344033,343.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
93,100932,0.11458333333333333,0.06326369728025226,0.1631848640126133,0.48676171079429736,0.48268839103869654,0.03054989816700611,0.0,0.15151515151515152,0.001293400338393172,0.0,0.38252508361204013,0.07227283920216696,0.11831103678929766,0.03878355084954445,5.292791702039165,0.1350615369808749,378.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",3,ok,exp35_p2
84,100842,0.4807692307692308,0.14959859017035443,0.24613275895829254,0.6207302709069493,0.35983510011778563,0.019434628975265017,0.0,0.7871621621621622,0.1501503517557919,24.646525,0.45775892541534113,0.13296760710553815,0.24673029338989041,0.09025600835945663,3.4426349046953355,0.1588912257664298,920.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
127,101271,0.7108433734939759,0.12129057956582354,0.21031666998605855,0.5967523680649527,0.38294993234100133,0.02029769959404601,0.0,0.7022653721682848,0.1413310854658537,20.875353333333337,0.3965830607051981,0.12138652714192283,0.2133769538349691,0.08358404185742316,3.267109374020732,0.15878730952536088,935.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
127,101270,0.6923076923076923,0.11907164480322906,0.20645812310797174,0.6119250425894378,0.3686541737649063,0.019420783645655876,0.0,0.7576687116564417,0.11522767328155958,16.944938333333333,0.37318435754189944,0.13006118994922536,0.20446927374301677,0.08644707720348913,2.8692983486279577,0.1550121553988915,901.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",4,ok,exp35_p2
127,101272,0.6666666666666666,0.12824708529351606,0.21231335651462466,0.5763239875389408,0.403816199376947,0.01985981308411215,0.0,0.6550522648083623,0.12253414523822205,17.92211333333334,0.4161490683229814,0.11537960671962495,0.23456339057362074,0.07774449798150801,3.606781823535185,0.15682210684668246,875.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
93,100930,0.45662100456621,0.08659594985535198,0.20192864030858246,0.5570824524312896,0.4175475687103594,0.02536997885835095,0.0,0.5107142857142857,0.13610384935880246,20.629250000000003,0.3842062193126023,0.11585659287776709,0.12274959083469722,0.06677093358999038,3.3162223207957946,0.13588269227173294,896.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
100,101000,0.6142857142857143,0.1473704488537854,0.21421691388942402,0.6216470588235294,0.35858823529411765,0.01976470588235294,0.0,0.5815602836879432,0.11966287520419959,16.525115000000003,0.4330946098756125,0.1066914498141264,0.2808141726347531,0.08550185873605948,4.059318817301037,0.14951184294894204,897.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
93,100931,0.5625,0.07220286488579171,0.17770034843205576,0.5458430458430459,0.4296814296814297,0.024475524475524476,0.0,0.376865671641791,0.12457003166600768,19.181583333333332,0.35873530603972437,0.0948824681684623,0.10579651398459668,0.05166503428011753,3.780838683525766,0.13722483317427128,837.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
100,101001,0.6829268292682927,0.13865384615384616,0.20692307692307693,0.6156501726121979,0.3690065209052551,0.01534330648254699,0.0,0.6430976430976431,0.12860522477548467,15.24393,0.3944253531882398,0.11990643850794042,0.24971363115693013,0.09146866921088267,3.2894426529240985,0.14713587074038167,863.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
146,101460,0.0,0.010752688172043012,0.04082039028275587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12529365700861395,0.004159838648682718,0.03484729835552075,0.0010084457330139921,30.11983578937377,0.14604592326853752,224.0,"{'fsw_band': False, 'nontrep_band': True, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",2,ok,exp35_p2
161,101610,0.0,0.005553351844506148,0.01824672748909163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144193296960249,0.0031737971308873937,0.01636788776305534,0.0007617113114129745,16.208324240062353,0.14628358145283465,149.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': True, 'hiv_trep_ratio_band': False}",2,ok,exp35_p2
161,101611,0.0,0.00019462826002335538,0.00019462826002335538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002523659305993691,0.0,0.00012618296529968455,0.0,0.14817830590861217,2.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
170,101701,0.0,0.0001892863903085368,0.0001892863903085368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011224604332697273,0.0,0.00011224604332697273,0.0,0.10705850282507526,2.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
170,101702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010934937124111536,0.0,0.0,0.0,0.10258924540568426,,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
161,101612,0.0,0.0031446540880503146,0.00884433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03189420458965383,0.0010081915563957152,0.009334889148191364,0.0,31.635064177362892,0.14573489717763824,116.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
