arm,seed,uid,t0_year,reinfected,months,src_cat
SOC,263004,14231,2032,True,3.0,m_other
SOC,263004,14234,2030,True,28.0,fsw
SOC,263004,14246,2028,True,1.0,f_other
SOC,263004,14251,2028,True,1.0,f_other
SOC,263004,14259,2030,True,6.0,fsw
SOC,263004,14261,2029,False,,none
SOC,263004,14266,2030,True,1.0,f_other
SOC,263004,14271,2028,True,2.0,f_other
SOC,263004,14276,2029,True,4.0,fsw
SOC,263004,14280,2033,True,10.0,fsw
SOC,263004,14281,2029,True,1.0,m_other
SOC,263004,14282,2034,True,23.0,m_other
SOC,263004,14286,2033,False,,none
SOC,263004,14293,2028,True,1.0,f_other
SOC,263004,14294,2035,True,1.0,m_other
SOC,263004,14305,2031,True,1.0,client
SOC,263004,14310,2028,True,13.0,f_other
SOC,263004,14314,2028,True,5.0,f_other
SOC,263004,14315,2035,False,,none
SOC,263004,14317,2037,True,10.0,f_other
SOC,263004,14320,2036,True,5.0,m_other
SOC,263004,14321,2034,True,2.0,f_other
SOC,263004,14322,2030,True,3.0,f_other
SOC,263004,14323,2035,True,8.0,client
SOC,263004,14330,2035,True,5.0,f_other
SOC,263004,14332,2032,True,3.0,m_other
SOC,263004,14344,2034,True,17.0,m_other
SOC,263004,14350,2028,False,,none
SOC,263004,14351,2037,True,21.0,m_other
SOC,263004,14352,2037,False,,none
SOC,263004,14355,2034,True,2.0,f_other
SOC,263004,14358,2028,True,17.0,fsw
SOC,263004,14363,2028,False,,none
SOC,263004,14365,2028,True,2.0,m_other
SOC,263004,14369,2032,True,5.0,m_other
SOC,263004,14370,2028,True,15.0,f_other
SOC,263004,14372,2034,True,1.0,f_other
SOC,263004,14373,2032,True,1.0,f_other
SOC,263004,14374,2028,True,1.0,f_other
SOC,263004,14375,2034,False,,none
SOC,263004,14377,2034,True,12.0,f_other
SOC,263004,14378,2033,True,8.0,f_other
SOC,263004,14385,2032,True,3.0,f_other
SOC,263004,14391,2028,True,1.0,f_other
SOC,263004,14398,2032,False,,none
SOC,263004,14406,2032,False,,none
SOC,263004,14407,2032,True,12.0,f_other
SOC,263004,14414,2030,False,,none
SOC,263004,14415,2028,True,2.0,m_other
SOC,263004,14416,2032,False,,none
SOC,263004,14418,2031,True,14.0,m_other
SOC,263004,14424,2036,True,1.0,f_other
SOC,263004,14429,2029,True,18.0,client
SOC,263004,14430,2028,True,1.0,m_other
SOC,263004,14435,2030,True,14.0,f_other
SOC,263004,14438,2028,True,2.0,f_other
SOC,263004,14441,2030,True,3.0,m_other
SOC,263004,14445,2028,False,,none
SOC,263004,14458,2029,True,1.0,f_other
SOC,263004,14460,2029,True,7.0,fsw
SOC,263004,14463,2031,True,3.0,f_other
SOC,263004,14467,2033,True,6.0,f_other
SOC,263004,14468,2028,True,18.0,m_other
SOC,263004,14475,2029,False,,none
SOC,263004,14478,2030,True,21.0,m_other
SOC,263004,14485,2029,False,,none
SOC,263004,14491,2030,True,3.0,m_other
