ng_inf,ct_inf,tv_inf,syph_inf,hiv_inf,ng_tx,ct_tx,pn_notified,pn_attending,lbw,sga,svn,births,syph_congenital,syph_congenital_deaths,sweep,scen,draw_idx
8345.5088,814.7468000000001,16170.726200000001,0.0,135.50160000000002,2591.9024,2591.9024,337.88540000000006,62.539199999999994,105.9692,660.1360000000001,999.7586000000001,5903.0056,0.0,0.0,dx_x_pn,soc_low,743
8916.179,427.3512000000002,15183.128,0.0,130.29000000000002,2601.457,2601.457,952.8542000000002,383.05260000000004,113.78660000000002,662.7418000000002,1002.3644000000002,5888.2394,0.0,0.0,dx_x_pn,soc_med,743
8124.8844,489.89040000000006,14057.4224,0.0,140.71320000000003,2838.5848000000005,2838.5848000000005,1799.7392000000002,1103.9906,96.41460000000001,665.3476,974.5692000000003,5890.845200000001,0.0,0.0,dx_x_pn,soc_high,743
,,,,,,,,,,,,,,,dx_x_pn,poc_none,743
,,,,,,,,,,,,,,,dx_x_pn,poc_low,743
,,,,,,,,,,,,,,,dx_x_pn,poc_med,743
,,,,,,,,,,,,,,,dx_x_pn,poc_high,743
3554.3112,2892.438,20194.081400000003,0.0,49.5102,3004.4874,3004.4874,0.0,0.0,109.4436,603.6770000000001,944.1682000000001,5843.9408,0.0,0.0,baseline,baseline,843
3554.3112,2892.438,20194.081400000003,0.0,49.5102,3004.4874,3004.4874,0.0,0.0,109.4436,603.6770000000001,944.1682000000001,5843.9408,0.0,0.0,pn_coverage,none,843
3599.4784000000004,3039.2314000000006,19850.9844,0.0,59.064800000000005,3132.1715999999997,3132.1715999999997,442.9860000000001,86.86000000000001,110.3122,617.5746000000001,959.803,5850.8896,0.0,0.0,pn_coverage,low,843
3912.1744,2914.1530000000002,20553.6818,0.0,41.692800000000005,3313.709,3313.709,1293.3454000000002,492.49620000000004,102.49480000000001,603.6770000000001,925.9276000000001,5849.152400000001,0.0,0.0,pn_coverage,med,843
3282.4394,2660.5218000000004,16968.101000000002,0.0,40.824200000000005,3437.0502,3437.0502,2315.6876,1421.0295999999998,92.0716,589.7794000000001,897.2638000000002,5847.4152,0.0,0.0,pn_coverage,high,843
3912.1744,2914.1530000000002,20553.6818,0.0,41.692800000000005,3313.709,3313.709,1293.3454000000002,492.49620000000004,102.49480000000001,603.6770000000001,925.9276000000001,5849.152400000001,0.0,0.0,care_seeking,cs_x1,843
3667.2292,2729.1412,18343.9634,0.0,43.43000000000001,3684.6012,3684.6012,1379.3368,574.1446000000001,98.15180000000001,593.2538000000001,918.9788000000001,5843.0722000000005,0.0,0.0,care_seeking,cs_x1.25,843
3269.4103999999998,2316.5562000000004,18980.6472,0.0,57.327600000000004,3979.056600000001,3979.056600000001,1471.4084000000003,601.9398000000001,99.889,610.6258000000001,930.2706000000001,5853.495400000001,0.0,0.0,care_seeking,cs_x1.5,843
3622.9306,2287.8924,19194.3228,0.0,49.5102,4625.295,4625.295,1770.2068,697.4858000000002,97.28320000000001,598.4654,891.1836000000001,5850.8896,0.0,0.0,care_seeking,cs_x2,843
3554.3112,2892.438,20194.081400000003,0.0,49.5102,3004.4874,3004.4874,0.0,0.0,109.4436,603.6770000000001,944.1682000000001,5843.9408,0.0,0.0,dx_x_pn,soc_none,843
3599.4784000000004,3039.2314000000006,19850.9844,0.0,59.064800000000005,3132.1715999999997,3132.1715999999997,442.9860000000001,86.86000000000001,110.3122,617.5746000000001,959.803,5850.8896,0.0,0.0,dx_x_pn,soc_low,843
3912.1744,2914.1530000000002,20553.6818,0.0,41.692800000000005,3313.709,3313.709,1293.3454000000002,492.49620000000004,102.49480000000001,603.6770000000001,925.9276000000001,5849.152400000001,0.0,0.0,dx_x_pn,soc_med,843
3282.4394,2660.5218000000004,16968.101000000002,0.0,40.824200000000005,3437.0502,3437.0502,2315.6876,1421.0295999999998,92.0716,589.7794000000001,897.2638000000002,5847.4152,0.0,0.0,dx_x_pn,soc_high,843
,,,,,,,,,,,,,,,dx_x_pn,poc_none,843
,,,,,,,,,,,,,,,dx_x_pn,poc_low,843
,,,,,,,,,,,,,,,dx_x_pn,poc_med,843
