draw_idx,hiv_prev_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
205,0.13272229520711662,0.24052470554201938,0.1633099029653888,3.454141822351795,0.5770555446258767,0.477532219761209,0.21134920360226203,0.111118576636528,0.0949214306294248,0.0211145888604636,0.0,388156.3,20278.25,0.0,3.6281683334005477,1,103.62816833340055,428
206,0.133024510309493,0.2374080511773708,0.0983172993972306,3.335491139313173,0.35042953636303986,0.28764468396660225,0.21017216103570383,0.10218315499769322,0.1432608941924886,0.04193718114775861,0.0,582048.85,39611.1,0.0,3.27655614076389,1,103.27655614076389,412
207,0.10875303843308701,0.2999640087707302,0.15586185124552202,3.3158709007398257,0.6138342359737624,0.3951061418846814,0.4083255979887328,0.1965682601265842,0.00032943133086720005,0.27177992908032006,0.0,1697.95,241259.7,0.0,3.545246297494584,1,103.54524629749459,423
208,0.0270304715360348,0.061386343777452015,0.0329979433602732,5.606308343856595,0.12878787878787862,0.0782292699041954,0.08404360753221,0.0377271225635942,0.045078545388107405,0.0,0.35489412783946844,213550.2,0.0,786378.5,1.1989207079877429,1,101.19892070798774,327
209,0.11768983422091901,0.20451176478837002,0.08594214497419302,2.0269263362098338,0.386138700088983,0.29589821924546966,0.20448848475877063,0.09961329599575881,0.0384812664174694,0.2718916544661178,0.0417484656023532,166439.7,247928.25,71096.4,2.242006468771487,0,2.242006468771487,78
210,0.1391813204295712,0.19505190633884442,0.1291984658265472,2.4186536655582027,0.4502380952380952,0.3649896789212367,0.153259841592125,0.0817504794866378,0.028104981370312403,0.0278607672329656,0.00042947645893847764,120744.4,23372.55,498.8,2.530247333672772,0,2.530247333672772,98
211,0.1165557870372774,0.2776753696176792,0.14401729023852622,3.817185953536599,0.5847780930231157,0.3508520207330784,0.4567250336449728,0.19242294562194723,0.118757372055013,0.0,0.29539269472385143,521744.8,0.0,602572.15,3.934383098388286,1,103.93438309838828,444
212,0.11285079719478182,0.27742124634781823,0.1224405622764354,3.162186158229388,0.5669357760169252,0.423342238240616,0.252270374941871,0.12438738681751223,0.07371791695495541,0.0,0.07033550458794222,305068.4,0.0,108049.65,3.192220842993387,1,103.1922208429934,406
213,0.019689753739318798,0.3654953128506092,0.2238663890378206,1.9077444352725976,0.7151482966796523,0.521520136311799,0.317714754704427,0.1607651089837728,0.12681337552441121,0.2357085649320802,0.0,619067.35,241555.5,0.0,5.489221412793335,1,105.48922141279334,487
214,0.0911487949127734,0.287200148828743,0.1384176178405766,2.7429861153752766,0.49480445795339384,0.5282927971428732,0.31090845232039205,0.1607987505367336,0.09417890115597641,0.027854505372366,0.0131671363496242,390624.2,27090.35,23133.3,3.6127293414527246,0,3.6127293414527246,193
215,0.08915052278981801,0.22670563939153382,0.13825686971327142,2.576842172350472,0.4603421575502568,0.3077965661641938,0.1941612494127058,0.0980421844230996,0.0254938944238546,0.1626941478709398,0.2165775102377156,119220.45,147099.6,398203.35,2.7199558622321582,0,2.7199558622321582,111
216,0.067207997322776,0.247949703634852,0.16245855955744842,2.4600050205664172,0.5215336564738704,0.33035472880518,0.3125360409981372,0.1571092301966814,0.018781877217384002,0.061920450989706596,0.24848248705133025,89646.25,56087.45,458194.2,3.1942614476355238,0,3.1942614476355238,157
217,0.11499385169346821,0.24868564285687605,0.1474027692602626,3.245631374162565,0.6654236795608075,0.3561333908385774,0.4422190384478224,0.20164757071359904,0.0346590504403652,0.1711713797054258,0.053066915923749,163168.5,150247.55,92366.45,2.905929917592155,0,2.905929917592155,129
218,0.1170317919662714,0.26076719114627883,0.12900589479371521,2.56465567775509,0.5717664449371762,0.4261317060816764,0.25206335297688043,0.1218049409414422,0.0118323238840122,0.0006696870578071242,0.21984504277600983,51414.1,1231.05,364830.15,2.8919640440607997,0,2.8919640440607997,126
