draw_idx,hiv_prev_15_49_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
324,0.17918902699011768,0.03641006941917538,0.016470906551041026,1.6931727494806612,0.04732824427480916,0.06656955571740714,0.09249817916970139,0.04093226511289148,0.06479635005739211,0.27583680393342414,0.00027385098796868594,286109.65,256239.65,572.75,0.9580113844920586,1,100.95801138449205,317
325,0.1572091070297706,0.24733225987009,0.10210603866432273,2.868836709046822,0.42978603603603605,0.39429577685890604,0.27636184407948805,0.1293423790616059,0.030819069351007596,0.1654963608179234,0.0,143745.75,142849.65,0.0,2.386891363106126,1,102.38689136310613,361
326,0.13851618682016292,0.349305463885296,0.18457355721772178,2.6865579595827387,0.743121700804098,0.5241119953700109,0.32083892206661363,0.15504908256337552,0.017129605219315253,0.06570535892730926,0.3320843559760845,83617.15,59338.35,690136.2,3.978868765407124,0,3.978868765407124,223
327,0.045679131832698366,0.3079759362403898,0.13977299480798316,2.2671305541494045,0.5523233393024191,0.6006321355736831,0.26696767624922046,0.13240018817709642,0.026923256571978436,0.05447944881369852,0.38706929406496016,130022.95,50520.9,863936.1,3.408105756821228,0,3.408105756821228,177
328,0.10021729397154536,0.3775014897304632,0.15494826538706877,2.2718907100406946,0.7849227383764359,0.5369154578835718,0.31260314049749705,0.15041485695082285,0.012986499565913403,0.18551170187605437,0.21861426250341204,66169.3,174530.7,420225.95,3.773560938993462,0,3.773560938993462,204
329,0.16900832612499675,0.2250590441766427,0.0970069368585003,3.223858570891501,0.57235134974861,0.2874407624659587,0.35552654833116504,0.1570326892028763,0.14360715858863998,0.013974943778743967,0.12486572014825123,616181.85,14795.8,211238.9,3.1907731290972463,0,3.1907731290972463,154
330,0.20471292158352744,0.1261935184570228,0.08455637876912396,3.3487965799209993,0.32621468926553676,0.20082222889953175,0.1323043974171077,0.06687337368336062,0.05787058497869596,0.06960264265117118,0.3728682568847498,260232.95,63514.35,802905.6,1.9869885806814924,0,1.9869885806814924,59
331,0.12804297052103755,0.12613234889515695,0.06937906983391932,1.1239880108140219,0.2587301587301587,0.21597439759065643,0.12451627085815561,0.05950933155118794,0.030536803124030253,0.12360140321833632,0.0,140735.55,105723.85,0.0,1.4696208439590281,1,101.46962084395904,338
332,0.05462969651221873,0.2990687028924504,0.19654262684860738,2.3799793865986967,0.6235191483300395,0.41424853913146914,0.3980115860918795,0.18773987477665138,0.004938488954063099,0.2364737539726026,0.14064579773462418,22792.55,219382.1,256489.05,3.9339489013193103,0,3.9339489013193103,218
333,0.170628051068625,0.2796185090307138,0.16179435686002852,3.592923946616614,0.6313226750340153,0.5691058714504608,0.2860422691263317,0.1448518594232076,0.08981929972816231,0.08647448564506335,0.0,383124.8,76358.45,1.45,3.67681424294979,1,103.67681424294979,430
334,0.10862444540068461,0.2387758055886037,0.10449235295674068,2.0777998104581314,0.5031086371998679,0.3173679275309893,0.33841640052685995,0.14421567194215074,0.0554370067822458,0.23528876193222317,0.29190918052729503,259293.35,232707.6,642795.15,2.7774132767252264,0,2.7774132767252264,116
335,0.05628959860054452,0.12090301142428558,0.06415408153256041,2.8907697916272563,0.25321485532011845,0.16045819316515558,0.1626164821360678,0.07692532469877658,0.14264269484795794,0.22086360558308055,0.0,681562.35,219634.4,0.0,2.41264396777711,1,102.41264396777711,365
336,0.18905812494576976,0.16822248418873564,0.08383489439226643,3.2602292362899656,0.4010948905109489,0.2871889654466553,0.21515339330092242,0.09765764125242227,0.05343001274828439,0.27409539402745065,0.0,231306.9,245321.15,4.35,2.168415975275053,1,102.16841597527505,355
337,0.06554829552837126,0.12204081799496949,0.053811054692477586,4.4074635478884385,0.118280199604557,0.21971598411335802,0.25957416754929874,0.12070984833734322,0.05316927923635284,0.16804259083108458,0.25848745085024605,254999.9,163241.0,539436.25,1.4757603579191856,0,1.4757603579191856,34
338,0.21697289639250017,0.3379284203805593,0.18515921234900112,3.864772312102917,0.7843396338702842,0.4562924682725048,0.3617098084288636,0.18199772329863168,0.1480922706018251,0.0,0.22228862536656835,613310.85,0.0,405849.2,5.005245359105126,1,105.00524535910513,477
339,0.19940865766874927,0.29729040778078575,0.19578647757772646,3.4893527248795984,0.6018889666085927,0.5354211794122364,0.30687394728629097,0.15770487330147262,0.004697776368195731,0.04916353750909137,0.31233818103700794,22794.0,41963.0,587251.45,3.9218771146755316,0,3.9218771146755316,216
340,0.16614745716250404,0.07238673753480132,0.033308023285244244,2.919685948420425,0.13636363636363635,0.07181208053691275,0.08936241610738255,0.0388255033557047,0.009459071643660723,0.2066616206368063,0.251805496877285,46975.65,187506.75,483066.05,0.8725620239919873,0,0.8725620239919873,9
341,0.21317534506450864,0.31803236152920905,0.1783120269483259,3.272561743864312,0.7647672091015745,0.4750060071350014,0.3520736660133287,0.1729203268516699,0.0514893131108569,0.18320211310827256,0.33897226753387,232182.7,167708.45,731535.15,4.00028527364329,0,4.00028527364329,224
342,0.16439013872855965,0.306033412022303,0.16368329894952902,3.2023230988910627,0.6829933161031633,0.6093366339119113,0.251886145744869,0.13877722034321974,0.12224647453277056,0.05684892421865835,0.29164113911423345,538376.3,55310.25,594127.35,4.2169136014331485,0,4.2169136014331485,238
343,0.15412045549170744,0.05872810232530549,0.03566823480684798,1.8528285653721983,0.13636363636363635,0.08869320183163085,0.07389926030292357,0.03740753786544558,0.01817127870900597,0.13468391835648572,0.03814215936471674,93467.0,116977.3,65306.55,0.6798184900606183,0,0.6798184900606183,5
344,0.2136658455264253,0.2691325325395265,0.1267591130870509,4.60838479151179,0.66653800191492,0.6095542583460258,0.26233979160141446,0.1281059500525597,0.10686002764715363,0.002707144745968259,0.2749335757899416,432661.15,2644.8,500450.1,3.6190596727075093,0,3.6190596727075093,191
345,0.15970129394865956,0.13888038034210526,0.0693268254168444,3.9792702083132077,0.3174957349375954,0.3558153023659677,0.16663281583395256,0.07755188180007973,0.0786109572855562,0.029871185683131452,0.2658208704555404,349138.25,29996.15,501898.65,1.9260252693703892,0,1.9260252693703892,57
346,0.027676432408595485,0.22774169074199052,0.09850553828484797,3.617367399215122,0.45382098527080095,0.29635486502322395,0.34970945141026516,0.15393568356651086,0.0414637146167813,0.14531863626217817,0.31790125172355305,199037.15,140130.9,704530.35,2.4921036888430637,0,2.4921036888430637,93
347,0.11102681333212186,0.20333335238197098,0.07483652663624155,3.2177435040534377,0.3877579338569116,0.4353978050323624,0.24287763946730734,0.1217245555003302,0.10627763164023263,0.0,0.2748504139170457,478220.15,0.0,549294.8,2.586212734502996,1,102.586212734503,371
