draw_idx,hiv.beta_m2f,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,pn.p_notify_stable,pn.p_notify_casual
109,0.019569260709634,-1.4289357834045102,2.022563711370227,10.931104201506535,0.2897239937981287,0.8429242224281559,-2.2766334917933277,1.1917749210798034,-3.776028521507132,-3.3186948636879823,-2.899426626099721,0.8721068296412222,5.760216881382275,6.183610784991934,0.137564355910271,0.2640723815778532,0.3816717580167319,0.1298236855568431
113,0.0298867676772794,-1.310875627640144,1.6468161755612445,26.736402988518787,0.4838905490961467,0.6999722421736997,-2.36039053996946,0.9195826181319556,-2.483764728136049,-1.7112282915764627,-1.4775575878264058,0.7760089866648813,3.865592530539844,8.16625772759802,0.0321031927892803,0.3819886888277746,0.3503799439583837,0.0635505632103398
117,0.025175232937529,-1.2006940404857962,0.9393821817792776,12.538884847904782,0.5935984132295014,0.7654762458342729,-1.0405544119600107,0.9146788633159584,-2.556315989245028,-2.8926945335788234,-3.626301477395832,0.6102344874582787,4.550385977731223,3.751458639443116,0.1125262263149294,0.8589467962933233,0.240119645049177,0.1163081566216156
128,0.0273025209133505,-1.1136788945263754,2.1819673707401512,29.171436138939548,0.45734610544523,0.9025395144598818,-0.2126742533491517,1.331824595657493,-1.5551280486203107,-2.0081639190000797,-2.6459936853540125,0.8391035090461006,7.879497959446713,14.055977143826007,0.8498524013303246,0.7245372452950809,0.2955824613459174,0.1655272128774066
136,0.0329288825136833,-1.2198190895877887,0.675983131970319,14.357704474924413,0.3621573204404724,0.911853732451892,-0.5096610497869065,1.4492203668747836,-3.420821673478308,-3.074559219306006,-2.227717731941316,0.7014208829039639,7.575056334313762,6.647448133422414,1.061722642728365,0.0419551124243,0.0941929527562086,0.1868355195372997
137,0.0212963390732342,-1.175531069305808,1.197550158612725,17.605442705714403,0.2844429375052694,0.9074034274689896,-1.92998933789518,0.5138755883305982,-3.1258485869086274,-1.960701558068588,-2.6811025416600422,0.6385998956298177,6.540002919913466,5.05672680262701,1.0674927589897638,0.0599510965357062,0.0991690574505379,0.0939191770129845
153,0.045800872558555,-1.266514334964192,0.5510574465081226,20.566310143463525,0.3775760719376496,0.7349831873172645,-1.5745680848549757,1.1522167284551958,-3.073948005186562,-3.653631392398927,-3.4412254081396667,0.7133742750516623,7.658367870672079,4.8607454579794585,0.6115726627236575,0.156127010047219,0.4940446349891372,0.080855710370004
159,0.0114016115712318,-1.2325837312392984,1.117207730946554,15.293113661056498,0.3580487861970313,0.5878534464656313,-0.4187362121153986,0.7719982240820147,-3.12699469440051,-3.665312622042002,-3.0140197409166665,0.747300640159901,3.3967371211907373,3.050189126854659,0.8923687428177356,0.3311198764916062,0.2801155362642154,0.1012352270676923
167,0.0341735918820878,-1.060238315726396,1.7201758782812664,21.82627048694015,0.4758348057465399,0.6942046502241712,-1.4628960647386684,0.6493136881673127,-3.8245011592531513,-3.000876552955461,-2.2394470007727967,0.870038159326951,5.197421834584559,8.199134984461894,0.7381478848060797,0.5048917891410738,0.4035617331595079,0.0455028614186082
192,0.0060399968454559,-1.3754272969742989,0.8461482821256058,17.557141842945676,0.4164782815476227,0.6821266862627572,-0.5078184441029174,0.4243606826049519,-1.243293083977469,-3.1780322168290915,-2.210624095474647,0.822456523613791,7.871185411292435,3.6977655199797432,0.9617959607796152,0.4532171403013474,0.2914955364096092,0.0268609484313974
249,0.0261068199158089,-1.3441177077147748,2.2135250140405223,28.257891563444847,0.5099185718587764,0.8751030312352258,-1.0934216999975557,0.4212473864821451,-1.3581457302661717,-3.1974999849811043,-0.7237975028117676,0.8713540855220687,6.857819226675959,10.820426579464623,0.8561697241758552,0.0553073692112378,0.1759695735752921,0.1405988199684021
289,0.0173003792413064,-1.1592122469594126,0.558725138848783,20.390723147374587,0.1841000530552629,0.834605452273785,-1.5924822721637777,0.7123303356431068,-3.477259365866607,-3.522337909328482,-2.728451837075437,0.5558986164550813,6.7974304957908425,7.412630012734591,0.9282116393245996,0.291850323620222,0.1932750216327574,0.1857235731601962
298,0.0293653395450879,-1.4471274997840455,1.3212389155673414,23.05190858825052,0.2208849006333333,0.5195537602698015,-2.8536851773578817,1.3499016141410265,-2.6268625867899136,-1.8289533386503931,-3.481069577943297,0.6847752233521173,4.377784765579481,6.6149604624422,0.2278983345261431,0.4664430137680395,0.2652265318747634,0.0505425089084697
314,0.0168604357466223,-1.2524207986273093,1.8183950496623529,10.347523225522554,0.2217744836952874,0.6197134829400348,-1.4682247480503232,0.3359736592873897,-1.9893026575793853,-3.077796713647697,-3.217993385815297,0.8640739084800597,5.625647799817225,4.022602807916892,0.3795086837731708,0.8841298038342185,0.2758714041251864,0.135306156213471
323,0.0315828221192652,-1.0558119610185426,0.29526703885673,29.95555183062139,0.5401119489746943,0.8607866954091619,-0.052997647805308,0.7174651078971239,-2.481706369892239,-1.8757869512475052,-0.8929885079427282,0.8394549170738383,2.8313446517904843,4.571146919740928,0.194225643175199,0.7768091590990234,0.2906570394788263,0.188322739721657
350,0.0398737048227166,-1.7212515657881653,1.6596198625371783,17.356895529087392,0.5470674121874359,0.7168682230626038,-0.413986151376946,0.9531367466518303,-2.61338087296734,-3.315871917575339,-1.2398834085177106,0.675202372202904,6.609729628789706,3.519383152853928,0.3205254875281242,0.2610185758348738,0.0759733874022579,0.1383016198799787
