hiv.beta_m2f,log_syph.beta_m2f,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.011772558229150725,-1.664353215370992,-2.665522034210211,-3.3328663524987965,-2.458434897073703,0.6041143103653079,0.051151488308242496,9.387211307474892
0.032176034096158546,-2.300236912843221,-2.544550552816382,-2.906229922400504,-2.5041184025211303,0.7154967514248338,0.22896589176734738,10.074522726692942
0.04456902665540174,-1.1907737266183192,-2.5001152790105245,-2.501023187908906,-2.3843382132535993,0.6409816496014283,0.2289011126581204,9.045468183835244
0.047101153545385674,-1.2170925088158497,-2.6851902535134893,-3.469893764325403,-2.894742837623604,0.7437343366148745,0.16341989212032285,13.128038015223632
0.006613526880938647,-2.208240446245694,-2.6590942874444248,-2.989251990843755,-2.5913602322919456,0.7935618176126253,0.19250003439013547,14.415191578262974
0.021657457040615984,-1.8066916713670662,-2.8457382494010557,-2.7833095329835635,-2.847405938308744,0.8411792140368284,0.24185673735867025,5.547753519937368
0.03023890697799076,-1.215527486573895,-2.4019801280716093,-2.743483093330982,-2.155912844249354,0.5589082780010756,0.1988291878740437,3.0967195934281566
0.02629031129163552,-1.5559137240244185,-2.5550248611559905,-2.540932073026812,-2.7561916500262518,0.7574093932024364,0.21949427816106776,14.686339350740758
0.034405562922592045,-1.9648870523035429,-2.9455750579566997,-3.308461738540502,-2.1858917597096363,0.8734750228708597,0.1081037979132393,3.788954044219688
0.024854772130705142,-1.0643994360902849,-2.4693570891602707,-2.309848954325708,-2.279228328025866,0.5588930810416177,0.13833354646360058,8.219851187674351
0.030882956618563027,-1.9491544396200386,-2.5606475392441963,-2.487886113883917,-2.0460407196336323,0.5620793336886272,0.07981228229288587,13.810092802743723
0.01194139930789146,-2.291980830051406,-2.9831747906777073,-2.841581914044067,-2.760995674050937,0.8934694736757149,0.17943411971708084,3.028918005413842
0.03987910506864314,-2.04694485553812,-2.505580003592706,-2.290002064972346,-2.025860783844526,0.6161746322622521,0.13482737332114247,2.833526512507855
0.021605414799435157,-1.3849934695855644,-2.6744361688902107,-2.2076855015910195,-1.861105625163828,0.5888524189721996,0.2759861857527873,2.600346926209901
0.027052515972022045,-1.9700631791408483,-2.614418536777611,-2.3932036659283504,-2.178170967319672,0.6830596837977297,0.1210876472312873,3.864550711816915
0.03062165113128639,-1.3040616539604946,-2.5461593124919357,-2.680728364629833,-2.1833122347833926,0.5616952541542601,0.23276303327223286,3.4178342265822574
0.04661935846391303,-1.186928588758843,-2.637791186003544,-2.665077979515817,-1.9822171099994421,0.7684578034675915,0.1385987065583506,6.581589293434711
0.015905465044437593,-1.564574916986702,-2.717728701219192,-2.3012515804213445,-2.5488704881019015,0.7372574975240824,0.08049058675000856,6.960626220980949
0.04775213524708127,-2.2396999640257698,-2.6233320492875505,-3.3605779450251627,-2.1513547295046154,0.6051441394993166,0.2791889292925818,5.305795958190267
0.016481374617332675,-1.9033370321233956,-2.7236400292460923,-3.2396942048955135,-2.9740678499570437,0.7624201592404262,0.1607839458115772,7.057778605584571
0.03248378528505237,-2.149329215746994,-2.943027631330925,-3.460426698994795,-2.7741266286723505,0.5757057011216443,0.08485664335847187,3.5841804897951626
0.04346633448844112,-1.235147901066231,-2.7044792385686134,-2.2103694584918885,-2.5671818495248253,0.7285169257650307,0.23064763427289858,9.385169813201713
0.027152963974125283,-1.7585217379783895,-2.6735197738210497,-2.7805790804111057,-2.3057797884181586,0.6383967454112781,0.0770936187530412,4.866508234361768
0.01138632858670332,-2.09014536394173,-2.5697272726694704,-2.4495678233262232,-2.444262965652924,0.8098273630024719,0.21654070052987334,14.23259251215293
0.019953415887808117,-1.3947153626368016,-2.675766766305593,-2.5529736428047527,-2.095551638222196,0.5788417119464792,0.11551411483969314,11.240112161782857
0.01397451064916392,-2.1939109292144328,-2.44359258166851,-3.405581800917917,-2.091174461734016,0.5781890743784993,0.23959054107253341,13.48029904690527
