hiv.beta_m2f,log_syph.beta_m2f,syph.time_to_undetectable,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.009209812153942622,-1.1978047314664686,17.291036957376033,-2.8954477413158304,-2.2574155482373444,-2.1115752877254,0.5503740462113115,0.2098633756966577,10.473138926707962
0.03936823248907432,-1.468116871528959,20.452865030139257,-2.926763991437237,-2.846564018061292,-2.6630609385893713,0.8196659382611038,0.11999738193221458,4.704590243402995
0.038861107132833264,-1.0856502868051858,18.382741800125423,-2.534807054258509,-3.209891259437653,-2.4144787195574917,0.8695998084970109,0.2712744815312486,4.13623254599595
0.030043341758544288,-2.251112361241328,13.432992108186358,-2.7247465993620903,-2.162723252857933,-1.9729963369380956,0.8370862518756159,0.2784714627766327,10.891148540013422
0.03106439013192236,-1.2279056126193733,12.004421433533555,-2.4785175204786207,-3.4909963320146935,-2.5849061593317155,0.8182983951703305,0.20339943920261883,13.929483374515991
0.018861666627242153,-2.0418915527711845,26.087838034172673,-2.8420080898814533,-2.8115650661678355,-2.3309973940450415,0.8811963616386452,0.07898426944135262,8.694494545746604
0.005437854104660761,-2.13558238291763,11.931803414476978,-2.7907077724777274,-2.4104564321701956,-2.600496927899545,0.6870877262355188,0.15837550631743752,12.090634654331453
0.029141359933597955,-1.7709944882124025,29.256670593414512,-2.7011962822261384,-2.410101126890621,-1.902953464651719,0.7917462842926519,0.1572610154702329,12.157838158704246
0.021524535963580605,-2.008518610108947,11.82160625622505,-2.708869989181582,-2.536290548573451,-2.3326201375026008,0.644736636793199,0.07617119003680976,6.5069654128412795
0.02775172834401969,-1.183916548940087,10.395230365247288,-2.81752167923176,-2.427778552482897,-2.1165792103172505,0.5716693658955889,0.07162679395468381,11.281407015428638
0.015770752085052325,-1.160362717406488,27.645621761809597,-2.5681277026256115,-2.9265967078947392,-2.926502095357426,0.664508202160063,0.2171061448361612,7.225111244270121
0.011201378434630292,-1.191847277048738,21.541167079321724,-2.6379281545890048,-2.6580365993055928,-2.7908977599844724,0.7052518272806252,0.173010607065351,13.25205520690412
0.03637156004888067,-1.5063965054929969,10.668936777050327,-3.1836703610199812,-3.153863471760855,-2.9089204226031624,0.6142776277300583,0.25305491019141085,2.4996375154759782
0.030756394995676558,-1.6200874696957166,15.6892284816129,-2.8560928261264307,-2.205993498310831,-2.6194537702236103,0.8702195170297595,0.05623326870873496,5.284097179456396
0.034731950933212304,-1.0996954202825076,21.534713909570826,-2.664367367174985,-3.506695910588316,-2.085787159355382,0.7794088040526712,0.05018785513608919,5.737852447282789
0.03452904228719386,-2.0931348591724426,27.92718052962452,-2.518187015428187,-3.1439654054152126,-2.6867762558334425,0.8889518530091793,0.18372443462806587,4.492580664787402
0.01452593185665699,-1.9745377626711316,18.10131461723067,-2.5053353765881643,-2.4353789449086127,-2.241411349718576,0.6131885967722903,0.2982976535526762,14.289695488282842
0.036896635073749046,-1.687669887876588,20.957522776085785,-2.902458164274795,-2.260063917980151,-2.1688665014711437,0.7073178320485997,0.2241417120472578,2.072568922557109
0.04259021524870404,-2.261980263832728,29.97879265996837,-2.705946337168853,-2.3706753135815806,-1.9881629057668506,0.5541097915265398,0.08587144465390897,2.183425449410915
0.03633295118145577,-2.0982777062236115,18.151655068608807,-2.5780566552781843,-2.414826964109384,-2.690467200350754,0.7237508200367319,0.17600332119668316,2.736308063250969
0.048168792989508206,-1.851588184986003,13.80938753577913,-2.588264208599009,-2.7604993170720884,-2.332562662341015,0.6601486537288946,0.29622625334266095,6.3798445492691105
0.04855574398946718,-1.8236161013473609,21.555440908285338,-2.566363047319099,-2.538301213571045,-2.0797478784692673,0.7520690891599076,0.1879553639758576,6.349879294073322
0.019847073124854057,-1.402019474085275,11.990386481233294,-2.8590845914485525,-2.44994978580773,-2.2997781395130277,0.6390459085975843,0.22808852240040683,2.2853252314300145
0.00970819970903322,-1.6979401130453484,29.930371337649007,-3.0350395805276404,-3.34010464478901,-2.9451649307044123,0.6666445675566296,0.053657898877775626,14.778231842387274
