seed,year,stage,n,share
102,1993,secondary,90,0.4787234042553192
102,1993,early_latent,4,0.02127659574468085
102,1993,late_latent,0,0.0
102,1994,primary,63,0.45323741007194246
102,1994,secondary,70,0.5035971223021583
102,1994,early_latent,6,0.04316546762589928
102,1994,late_latent,0,0.0
102,1995,primary,49,0.5697674418604651
102,1995,secondary,35,0.4069767441860465
102,1995,early_latent,2,0.023255813953488372
102,1995,late_latent,0,0.0
102,1996,primary,88,0.6929133858267716
102,1996,secondary,35,0.2755905511811024
102,1996,early_latent,4,0.031496062992125984
102,1996,late_latent,0,0.0
102,1997,primary,100,0.6622516556291391
102,1997,secondary,50,0.33112582781456956
102,1997,early_latent,1,0.006622516556291391
102,1997,late_latent,0,0.0
102,1998,primary,142,0.6016949152542372
102,1998,secondary,90,0.3813559322033898
102,1998,early_latent,4,0.01694915254237288
102,1998,late_latent,0,0.0
102,1999,primary,135,0.5720338983050848
102,1999,secondary,95,0.4025423728813559
102,1999,early_latent,6,0.025423728813559324
102,1999,late_latent,0,0.0
102,2000,primary,108,0.5654450261780105
102,2000,secondary,79,0.41361256544502617
102,2000,early_latent,4,0.020942408376963352
102,2000,late_latent,0,0.0
102,2001,primary,94,0.5402298850574713
102,2001,secondary,76,0.4367816091954023
102,2001,early_latent,4,0.022988505747126436
102,2001,late_latent,0,0.0
102,2002,primary,179,0.716
102,2002,secondary,67,0.268
102,2002,early_latent,4,0.016
102,2002,late_latent,0,0.0
102,2003,primary,145,0.5776892430278885
102,2003,secondary,102,0.4063745019920319
102,2003,early_latent,4,0.01593625498007968
102,2003,late_latent,0,0.0
102,2004,primary,99,0.5722543352601156
102,2004,secondary,70,0.4046242774566474
102,2004,early_latent,4,0.023121387283236993
102,2004,late_latent,0,0.0
102,2005,primary,95,0.6690140845070423
102,2005,secondary,45,0.31690140845070425
102,2005,early_latent,2,0.014084507042253521
102,2005,late_latent,0,0.0
102,2006,primary,67,0.6146788990825688
102,2006,secondary,40,0.3669724770642202
102,2006,early_latent,2,0.01834862385321101
102,2006,late_latent,0,0.0
102,2007,primary,115,0.6497175141242938
102,2007,secondary,59,0.3333333333333333
102,2007,early_latent,3,0.01694915254237288
102,2007,late_latent,0,0.0
102,2008,primary,105,0.5833333333333334
102,2008,secondary,70,0.3888888888888889
102,2008,early_latent,5,0.027777777777777776
102,2008,late_latent,0,0.0
102,2009,primary,169,0.6842105263157895
102,2009,secondary,74,0.29959514170040485
102,2009,early_latent,4,0.016194331983805668
102,2009,late_latent,0,0.0
102,2010,primary,133,0.5757575757575758
102,2010,secondary,95,0.41125541125541126
102,2010,early_latent,3,0.012987012987012988
102,2010,late_latent,0,0.0
102,2011,primary,138,0.592274678111588
102,2011,secondary,87,0.37339055793991416
102,2011,early_latent,8,0.034334763948497854
102,2011,late_latent,0,0.0
102,2012,primary,117,0.6724137931034483
102,2012,secondary,54,0.3103448275862069
102,2012,early_latent,3,0.017241379310344827
102,2012,late_latent,0,0.0
102,2013,primary,105,0.5865921787709497
102,2013,secondary,71,0.39664804469273746
102,2013,early_latent,3,0.01675977653631285
102,2013,late_latent,0,0.0
102,2014,primary,122,0.6594594594594595
102,2014,secondary,60,0.32432432432432434
102,2014,early_latent,3,0.016216216216216217
