hiv.beta_m2f,log_syph.beta_m2f,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.024716406730922943,-2.145503635974132,-3.156851658848736,-3.4789256432340974,-1.5473006661507567,0.7255038613313256,0.09973811020984849,9.868798789103558
0.008529359012452319,-1.6227336108796353,-1.499373679739505,-3.802078220741714,-1.3142887390842657,0.8717739340782669,0.22266410082689497,2.5064425324099524
0.010200922300341388,-1.4417511226803768,-2.659035477456566,-1.8564029851699329,-0.6914583860022856,0.8484564932047052,0.09869886012062551,4.526150175720112
0.03219650933755812,-1.1360241953593269,-2.2065085166556297,-2.878886055468998,-3.351837645707451,0.8383815348964518,0.1913675538863146,7.941785851094664
0.04168763853084305,-1.7300681840174466,-1.7018219701282353,-3.6838825162073805,-2.9192447324415,0.7958166362267005,0.2899959019477772,14.221964455871154
0.03211595027039808,-1.6226208848757184,-2.302072318191412,-1.5870611074336698,-2.3776741744990764,0.7193406895214294,0.08354639605036461,8.85558322904155
0.024723334762446873,-1.833892503449815,-1.9457473441519282,-3.1242601037566287,-1.8278021589009636,0.573919478482975,0.2649767730163922,7.009726261047428
0.01367656530076843,-1.6953493703813027,-2.003936649324343,-3.175595081756308,-2.8913131538148535,0.6828841023158557,0.19972644998593692,3.9816143606453043
0.03773074230756702,-1.138254000279968,-2.356799472007956,-3.562363892423711,-3.7829050750208704,0.6281512185395178,0.07862459992966726,14.66962459270868
0.019704419822084363,-1.208980763350616,-2.863180760135317,-3.5242850075391634,-3.192911914023041,0.7293260331186222,0.24457407756680344,5.708179692415609
0.02662011697546538,-1.3697463951017164,-1.2824481393205827,-3.0272151467878845,-0.6144126596035595,0.8071248720940802,0.2297241155866533,11.357421666996187
0.012606919252685388,-1.5327727609526942,-1.557955565528831,-2.4470704400271,-2.683600598617228,0.891352935606506,0.10635282203934313,13.50147931331291
0.014855729119229173,-1.3675324662896973,-2.2912544831327666,-2.470140968261206,-2.858834121843829,0.7814565192290203,0.1240629556577896,2.9041058330133693
0.013617919186351708,-1.5961916058108945,-3.2427603441047617,-1.8124335482189657,-0.5199089311981195,0.6144340878402909,0.07939150203587138,5.62131982800045
0.03136295286698283,-2.0218504688272665,-3.458898110297915,-2.9303540823821166,-3.574327276647415,0.6641450128077183,0.1715629556499328,7.700525888606926
0.006520146236500461,-1.854060377734451,-2.04725837572321,-1.5376947977387605,-0.8246076263544353,0.8336183032444913,0.09804221280709982,7.948983639143243
0.038452380421317024,-2.129494520071585,-3.231460242082151,-2.103377304817815,-2.0347154888113748,0.637016777648179,0.2940988258128698,7.973034018728681
0.03927030438401931,-2.0817457186361055,-3.744316806039968,-1.7618024506384131,-2.50083808531285,0.8796622051484143,0.18710521423447474,6.648303516917399
0.020713418801475477,-1.7322447176424518,-1.4884074455925655,-1.8201425406027263,-3.8838572933297906,0.7225996126089805,0.07365184043301606,13.20736965078305
0.01885246649787337,-1.8727250683424896,-3.06867819097409,-1.3260211860714057,-3.6441315495523225,0.8727091523518621,0.08537540236698571,5.326472894205585
0.03818452852278689,-1.462959814333836,-2.294690242190156,-2.398542200428988,-3.807366296559155,0.7060740191575448,0.06013547057016451,5.347362617133473
0.0399900312073449,-2.141736190545463,-3.8301894678327817,-3.2987200611089214,-2.6687123599541387,0.8557461881058785,0.25361366682940095,8.837621175885593
0.01656110331829765,-2.1844912213593863,-2.3393592716772784,-3.8452217070108214,-0.607251936362859,0.8898745268380748,0.10987456688305208,10.949183637224683
0.040365453638109894,-1.3138764117424788,-3.7618282870387665,-1.4101655726965956,-1.6005657223590348,0.7984027193522669,0.20220322827518672,2.304213372468982
0.03600054502092026,-1.6103070569914646,-3.2840921253549906,-2.52784830417931,-0.9713288189793263,0.8895536289906529,0.1022547705718603,6.406978154478467
0.02872939484853268,-1.696122629896133,-3.4373181117496054,-3.533986879681893,-2.718005651177961,0.7562807210630822,0.18961329268523097,5.9508534095073635
0.04147223211349264,-1.3597358315466852,-2.727863544944509,-3.7531698844528654,-3.1799065703971974,0.8881357051229601,0.07980310934313094,6.715236538490267
0.047695056869472265,-2.0082874230633436,-2.6461470499210353,-2.4297924435260487,-2.866942709437494,0.7601298586241803,0.24119604629118274,9.933326009783016
0.006224360979843862,-1.8745637638611976,-3.240641136592152,-3.353044871031682,-3.1911528815823247,0.7199896409930296,0.2507222638356358,13.724932557289284
0.02988410997615353,-1.0564118251487618,-1.9698975921170647,-1.2945303449496328,-3.000528005163197,0.6459287529576806,0.18614880431444486,2.4844120568584662
0.03559571503289288,-1.6188749276169616,-3.011476519152743,-2.3894041664887724,-2.7602677982803825,0.6616570797386168,0.17397909217711122,4.943434182703101
0.00890731904372108,-1.7185708622024718,-2.1902447025113077,-1.6728009170777391,-2.5056652849598033,0.7534002805233648,0.18204092189524673,6.671478457851913
0.043627969421415495,-1.053170670768823,-3.1620966477466457,-1.565672402949898,-1.629491782354966,0.689758336552748,0.2875817649597672,4.255992280666141
0.005546742911809982,-1.7372734692218024,-1.6766700135112105,-3.396366737601136,-3.518436208647548,0.6856148175682606,0.1746513884857243,12.666114889366348
0.035942671055288894,-2.1339638952801985,-1.8023200585698311,-3.6817883098659876,-0.6488733782719929,0.5612968245836307,0.0691010924495771,11.301990613670686
0.021218699158762813,-1.1759337360730293,-3.354060421916408,-2.8067869385619417,-0.7159100874379769,0.8759269736408485,0.28437992985763416,7.1847021236874165
